Time (ms),Accelerometer X (mGal),Accelerometer Y (mGal),Accelerometer Z (mGal),Gyro X,Gyro Y,Gyro Z,Locomotion,Arm Motion,Arm Object
503662,-574,553,169,-142,131,295,0,0,0
503695,-678,638,129,-97,260,46,0,0,0
503728,-852,768,224,-436,493,-344,0,0,0
503762,-1143,533,1080,1561,-190,-716,0,0,0
503795,-1153,949,319,93,-637,-692,0,0,0
503828,-892,936,-61,-329,428,-317,0,0,0
503862,-807,735,215,-1905,1011,472,0,0,0
503895,-1111,679,374,-2494,759,671,0,0,0
503928,-1125,535,331,-1437,46,941,0,0,0
503962,-879,368,128,121,-373,1157,0,0,0
503995,-621,417,59,783,-152,1089,0,0,0
504028,-467,456,105,746,122,1038,0,0,0
504062,-393,499,133,233,335,867,0,0,0
504095,-401,532,134,-387,563,632,0,0,0
504128,-488,536,131,-908,832,437,0,0,0
504162,-655,571,155,-1293,1076,327,0,0,0
504195,-803,588,219,-1495,1152,271,0,0,0
504228,-863,553,317,-1332,1020,180,0,0,0
504262,-803,541,353,-872,754,131,0,0,0
504295,-814,560,391,-390,552,84,0,0,0
504328,-812,604,401,34,383,47,0,0,0
504362,-733,636,455,345,243,56,0,0,0
504395,-557,604,519,1163,26,40,0,0,0
504428,-589,981,212,1965,83,-169,0,0,0
504462,-609,1337,153,-846,515,-231,0,0,0
504495,-678,1020,103,-2860,1047,379,0,0,0
504528,-896,698,73,-3140,1343,514,0,0,0
504562,-1112,757,56,-2340,1387,670,0,0,0
504595,-1087,711,53,-1842,1387,899,0,0,0
504628,-970,634,23,-1650,1197,968,0,0,0
504662,-784,547,13,-1334,1012,870,0,0,0
504695,-656,467,44,-953,927,811,0,0,0
504728,-611,454,89,-746,845,753,0,0,0
504762,-593,437,108,-684,782,690,0,0,0
504795,-624,457,124,-562,738,577,0,0,0
504828,-658,523,150,-346,741,460,0,0,0
504862,-656,605,155,-343,842,289,0,0,0
504895,-646,712,175,-591,951,243,0,0,0
504928,-662,756,196,-829,1021,187,0,0,0
504962,-682,737,180,-924,1068,200,0,0,0
504995,-754,742,201,-903,1124,252,0,0,0
505028,-808,732,258,-899,1078,233,0,0,0
505062,-859,702,379,-1036,829,292,0,0,0
505095,-961,594,443,-953,326,185,0,0,0
505128,-928,496,455,-495,15,-41,0,0,0
505162,-1042,443,676,162,-258,-443,0,0,0
505195,-1053,500,486,333,-868,-41,0,0,0
505228,-890,512,254,465,-843,323,0,0,0
505262,-828,487,180,-205,-922,356,0,0,0
505295,-863,399,220,-164,-1214,89,0,0,0
505328,-844,319,240,628,-1405,-150,0,0,0
505362,-841,348,237,1048,-1303,-409,0,0,0
505395,-827,418,275,867,-1118,-614,0,0,0
505428,-793,448,305,511,-938,-808,0,0,0
505462,-782,451,358,89,-834,-1040,0,0,0
505495,-794,413,404,114,-795,-1087,0,0,0
505528,-783,410,429,516,-838,-1089,0,0,0
505562,-747,433,440,916,-836,-1120,0,0,0
505595,-720,477,436,1055,-826,-1084,0,0,0
505628,-692,501,423,1020,-739,-1112,0,0,0
505662,-679,533,422,884,-587,-1096,0,0,0
505695,-644,556,435,744,-383,-1041,0,0,0
505728,-650,563,431,664,-265,-926,0,0,0
505762,-644,570,438,713,-179,-844,0,0,0
505795,-599,560,443,767,-89,-703,0,0,0
505828,-582,538,442,712,18,-453,0,0,0
505862,-605,517,449,682,92,-250,0,0,0
505895,-628,465,456,705,104,36,0,0,0
505928,-633,409,426,915,126,260,0,0,0
505962,-674,387,366,1227,161,383,0,0,0
505995,-963,546,337,1507,257,13,0,0,0
506028,-918,644,312,1136,239,-37,0,0,0
506062,-949,574,248,709,311,339,0,0,0
506095,-1152,659,259,508,380,335,0,0,0
506128,-1153,601,312,552,115,354,0,0,0
506162,-972,509,319,885,-245,480,0,0,0
506195,-801,415,290,1318,-595,555,0,0,0
506228,-680,402,267,1635,-883,443,0,0,0
506262,-591,423,249,1930,-1093,143,0,0,0
506295,-560,468,266,1813,-1137,-207,0,0,0
506328,-593,530,281,1512,-1128,-541,0,0,0
506362,-648,611,273,1311,-1081,-798,0,0,0
506395,-630,701,278,1157,-961,-966,0,0,0
506428,-581,842,330,958,-854,-844,0,0,0
506462,-543,888,332,671,-833,-586,0,0,0
506495,-550,879,311,400,-779,-320,0,0,0
506528,-568,844,331,356,-801,-145,0,0,0
506562,-694,894,316,302,-756,-126,0,0,0
506595,-943,885,302,185,-726,-177,0,0,0
506628,-1054,790,358,513,-706,-347,0,0,0
506662,-953,766,340,665,-601,-93,0,0,0
506695,-1078,748,229,25,-554,370,0,0,0
506728,-1290,569,233,-82,-719,570,0,0,0
506762,-1036,348,253,598,-936,477,0,0,0
506795,-719,316,297,1499,-951,139,0,0,0
506828,-533,463,324,1789,-969,-267,0,0,0
506862,-418,531,297,1337,-1009,-479,0,0,0
506895,-328,528,298,893,-1051,-583,0,0,0
506928,-293,495,298,895,-1125,-434,0,0,0
506962,-315,519,264,1141,-1120,-371,0,0,0
506995,-383,596,255,1247,-890,-360,0,0,0
507028,-462,751,321,902,-543,-484,0,0,0
507062,-457,879,409,-105,-391,-440,0,0,0
507095,-647,896,389,-815,-203,-82,0,0,0
507128,-943,849,395,-898,-96,52,0,0,0
507162,-1035,705,365,-38,13,175,0,0,0
507195,-998,810,318,909,240,-191,0,0,0
507228,-854,906,236,842,375,-162,0,0,0
507262,-780,903,112,-90,555,87,0,0,0
507295,-841,832,37,-1306,905,231,0,0,0
507328,-951,699,118,-1827,1064,163,0,0,0
507362,-945,648,208,-1758,921,-23,0,0,0
507395,-809,549,250,-1313,678,117,0,0,0
507428,-630,475,245,-757,452,274,0,0,0
507462,-482,435,244,-385,411,435,0,0,0
507495,-381,447,275,-247,351,484,0,0,0
507528,-378,515,287,-355,270,506,0,0,0
507562,-418,544,271,-606,225,474,0,0,0
507595,-454,585,296,-667,183,547,0,0,0
507628,-576,659,349,-598,163,518,0,0,0
507662,-700,725,408,-619,168,479,0,0,0
507695,-821,707,388,-703,185,515,0,0,0
507728,-1001,735,392,-671,298,63,0,0,0
507762,-1075,728,391,-354,299,-505,0,0,0
507795,-903,702,392,-241,263,-395,0,0,0
507828,-967,618,274,-586,109,144,0,0,0
507862,-1220,516,213,-432,-93,146,0,0,0
507895,-1150,374,278,530,-393,-37,0,0,0
507928,-772,338,293,1461,-575,-184,0,0,0
507962,-434,389,273,1622,-415,-330,0,0,0
507995,-277,431,290,1083,-294,-477,0,0,0
508028,-198,418,277,349,-179,-754,0,0,0
508062,-253,411,280,-135,-133,-872,0,0,0
508095,-445,422,314,-255,-166,-939,0,0,0
508128,-615,443,342,20,-213,-850,0,0,0
508162,-713,505,360,413,-279,-716,0,0,0
508195,-779,610,342,559,-202,-649,0,0,0
508228,-997,748,377,397,38,-624,0,0,0
508262,-1161,750,455,632,27,-510,0,0,0
508295,-1246,807,344,1252,200,-512,0,0,0
508328,-1210,991,315,911,342,-406,0,0,0
508362,-1104,954,270,-19,168,113,0,0,0
508395,-1072,712,210,-988,215,379,0,0,0
508428,-1155,576,232,-909,262,307,0,0,0
508462,-971,562,271,-226,97,299,0,0,0
508495,-664,490,223,-264,177,367,0,0,0
508528,-417,430,207,-612,234,427,0,0,0
508562,-291,360,198,-863,234,476,0,0,0
508595,-267,315,192,-773,81,357,0,0,0
508628,-341,362,183,-460,-5,251,0,0,0
508662,-467,436,197,-310,-96,293,0,0,0
508695,-636,520,214,-344,-164,429,0,0,0
508728,-846,535,246,-250,-214,537,0,0,0
508762,-991,518,234,26,-290,612,0,0,0
508795,-1184,553,214,215,-90,326,0,0,0
508828,-1214,681,255,235,323,-126,0,0,0
508862,-1251,730,330,-360,613,173,0,0,0
508895,-1543,689,347,-1159,446,583,0,0,0
508928,-1533,391,334,-856,-138,1013,0,0,0
508962,-1137,198,286,427,-452,778,0,0,0
508995,-648,191,335,1494,-470,473,0,0,0
509028,-370,313,351,2084,-508,167,0,0,0
509062,-237,425,303,1768,-484,-97,0,0,0
509095,-221,488,245,953,-481,-248,0,0,0
509128,-388,543,193,219,-358,-315,0,0,0
509162,-522,556,201,-150,-277,-413,0,0,0
509195,-545,519,249,81,-155,-320,0,0,0
509228,-553,576,228,462,4,-158,0,0,0
509262,-663,729,194,355,330,-86,0,0,0
509295,-931,836,189,-225,608,139,0,0,0
509328,-1174,813,188,-615,844,121,0,0,0
509362,-1079,782,284,-564,712,62,0,0,0
509395,-1007,696,211,-223,366,237,0,0,0
509428,-1089,779,150,-392,272,168,0,0,0
509462,-1248,691,188,-487,262,108,0,0,0
509495,-1068,617,307,-94,184,195,0,0,0
509528,-812,572,256,19,180,255,0,0,0
509562,-640,550,179,-100,154,160,0,0,0
509595,-525,549,139,-293,14,6,0,0,0
509628,-469,487,135,-464,-65,-8,0,0,0
509662,-490,452,174,-439,-87,48,0,0,0
509695,-606,478,180,-219,-217,32,0,0,0
509728,-700,533,201,60,-292,-54,0,0,0
509762,-698,580,217,213,-327,-67,0,0,0
509795,-672,631,222,160,-271,-61,0,0,0
509828,-635,657,242,48,-145,-113,0,0,0
509862,-596,664,265,-39,-41,-203,0,0,0
509895,-574,682,278,-120,55,-240,0,0,0
509928,-595,708,293,-158,137,-312,0,0,0
509962,-630,722,347,-227,242,-275,0,0,0
509995,-645,655,503,51,157,-278,0,0,0
510028,-820,838,511,506,-35,-503,0,0,0
510062,-893,936,281,-359,228,-521,0,0,0
510095,-779,876,325,-1243,288,-25,0,0,0
510128,-996,727,250,-1506,51,558,0,0,0
510162,-1072,620,163,-709,-294,706,0,0,0
510195,-992,550,76,470,-592,814,0,0,0
510228,-761,555,3,1053,-541,646,0,0,0
510262,-561,646,40,1176,-258,394,0,0,0
510295,-458,707,68,485,76,303,0,0,0
510328,-416,682,72,-612,521,240,0,0,0
510362,-456,632,128,-1251,864,177,0,0,0
510395,-509,601,189,-1406,1014,146,0,0,0
510428,-555,592,218,-1138,1023,84,0,0,0
510462,-591,654,219,-868,1041,-23,0,0,0
510495,-622,745,216,-904,1188,-88,0,0,0
510528,-644,854,244,-1230,1282,-125,0,0,0
510562,-666,860,204,-1733,1404,218,0,0,0
510595,-823,878,178,-1907,1528,388,0,0,0
510628,-881,1004,207,-2316,1424,677,0,0,0
510662,-978,928,20,-2955,1214,1020,0,0,0
510695,-1178,905,12,-2667,1109,917,0,0,0
510728,-1174,902,79,-2199,839,1060,0,0,0
510762,-1122,800,-3,-1982,695,1203,0,0,0
510795,-906,635,-29,-1524,643,1287,0,0,0
510828,-624,529,-30,-1130,682,1252,0,0,0
510862,-441,487,-45,-1099,843,1174,0,0,0
510895,-427,484,-42,-1234,933,947,0,0,0
510928,-474,494,-26,-1373,966,748,0,0,0
510962,-519,496,7,-1375,1063,447,0,0,0
510995,-574,553,71,-1398,1152,183,0,0,0
511028,-614,617,143,-1435,1115,50,0,0,0
511062,-700,685,211,-1442,1110,-129,0,0,0
511095,-824,729,297,-1316,1045,-244,0,0,0
511128,-947,751,348,-1099,1052,-318,0,0,0
511162,-932,764,396,-993,1184,-345,0,0,0
511195,-896,785,396,-1351,1301,-64,0,0,0
511228,-908,726,389,-2064,1174,305,0,0,0
511262,-889,522,342,-2029,826,827,0,0,0
511295,-932,417,269,-1292,499,906,0,0,0
511328,-996,505,289,-605,318,671,0,0,0
511362,-861,567,260,-344,271,591,0,0,0
511395,-710,543,197,-611,394,489,0,0,0
511428,-670,477,182,-1030,486,290,0,0,0
511462,-600,381,199,-1145,461,126,0,0,0
511495,-570,326,220,-1047,428,16,0,0,0
511528,-608,350,214,-849,410,-73,0,0,0
511562,-722,442,170,-718,501,-78,0,0,0
511595,-771,529,158,-825,659,-46,0,0,0
511628,-717,549,130,-965,813,145,0,0,0
511662,-775,564,93,-1014,1096,256,0,0,0
511695,-949,594,145,-881,1087,319,0,0,0
511728,-1218,601,212,-360,946,382,0,0,0
511762,-1347,647,313,337,783,298,0,0,0
511795,-1180,763,514,773,696,459,0,0,0
511828,-966,826,460,-450,651,777,0,0,0
511862,-1008,513,202,-2139,861,1005,0,0,0
511895,-1173,499,145,-2132,964,860,0,0,0
511928,-1090,450,131,-1640,503,542,0,0,0
511962,-845,382,53,-1066,268,444,0,0,0
511995,-624,353,20,-569,286,402,0,0,0
512028,-478,342,37,-541,389,335,0,0,0
512062,-423,381,88,-700,491,258,0,0,0
512095,-497,413,123,-941,514,210,0,0,0
512128,-598,446,136,-1063,498,145,0,0,0
512162,-635,485,157,-1027,498,130,0,0,0
512195,-655,516,188,-953,559,92,0,0,0
512228,-789,548,240,-645,480,57,0,0,0
512262,-982,616,245,-344,390,-198,0,0,0
512295,-1122,594,562,-186,101,-398,0,0,0
512328,-1292,673,411,-340,-292,-571,0,0,0
512362,-1070,465,11,12,67,5,0,0,0
512395,-1119,459,110,-520,205,613,0,0,0
512428,-1448,380,94,-747,-358,709,0,0,0
512462,-1266,302,80,925,-797,684,0,0,0
512495,-981,396,129,1736,-683,567,0,0,0
512528,-723,512,201,1259,-290,365,0,0,0
512562,-570,485,210,702,-10,212,0,0,0
512595,-465,542,247,256,103,184,0,0,0
512628,-428,369,220,-63,63,235,0,0,0
512662,-453,403,181,-106,19,236,0,0,0
512695,-447,371,144,-182,-49,214,0,0,0
512728,-489,350,95,-217,-2,-41,0,0,0
512762,-565,430,115,0,184,-269,0,0,0
512795,-703,603,167,48,357,-346,0,0,0
512828,-861,728,230,-285,432,-327,0,0,0
512862,-1052,744,361,-138,277,-312,0,0,0
512895,-1111,609,541,1591,-160,44,0,0,0
512928,-1180,1076,419,2377,-408,63,0,0,0
512962,-1101,1044,243,1,-413,-243,0,0,0
512995,-963,821,208,-937,-171,403,0,0,0
513028,-1084,683,123,-2274,248,726,0,0,0
513062,-1246,459,92,-2455,364,691,0,0,0
513095,-1057,370,100,-1354,161,509,0,0,0
513128,-789,322,95,-400,137,487,0,0,0
513162,-547,323,83,14,165,371,0,0,0
513195,-387,353,87,74,264,253,0,0,0
513228,-329,394,91,-150,411,156,0,0,0
513262,-410,439,92,-483,453,96,0,0,0
513295,-546,497,90,-784,502,88,0,0,0
513328,-637,498,131,-882,454,134,0,0,0
513362,-691,505,174,-612,388,244,0,0,0
513395,-804,516,203,-247,265,183,0,0,0
513428,-950,549,192,113,277,-156,0,0,0
513462,-1063,640,304,86,409,-579,0,0,0
513495,-1317,520,1220,2328,-456,-1195,0,0,0
513528,-1030,841,96,95,-157,-842,0,0,0
513562,-997,725,152,-1347,467,-236,0,0,0
513595,-1245,445,216,-2561,315,363,0,0,0
513628,-1375,236,258,-1554,-113,468,0,0,0
513662,-1068,78,296,561,-579,526,0,0,0
513695,-769,176,240,2025,-667,314,0,0,0
513728,-533,312,207,2318,-565,105,0,0,0
513762,-341,398,213,1675,-406,-17,0,0,0
513795,-263,411,194,396,-225,-217,0,0,0
513828,-315,362,187,-348,-19,-466,0,0,0
513862,-507,362,203,-279,59,-673,0,0,0
513895,-708,445,266,78,9,-728,0,0,0
513928,-724,484,271,234,18,-586,0,0,0
513962,-805,620,314,375,191,-533,0,0,0
513995,-977,782,400,15,278,-447,0,0,0
514028,-1173,724,484,-186,122,-229,0,0,0
514062,-1334,711,483,553,-79,-168,0,0,0
514095,-1206,846,489,177,-225,-169,0,0,0
514128,-986,702,439,-268,-324,336,0,0,0
514162,-944,583,254,-820,-160,816,0,0,0
514195,-1103,506,216,-822,103,808,0,0,0
514228,-1178,559,283,-329,36,569,0,0,0
514262,-929,514,258,-248,-153,763,0,0,0
514295,-657,412,194,-323,-114,966,0,0,0
514328,-437,385,188,-380,-91,1099,0,0,0
514362,-292,406,164,-295,-164,1199,0,0,0
514395,-195,509,155,-397,4,1399,0,0,0
514428,-207,666,242,-731,23,1562,0,0,0
514462,-284,762,243,-1159,-26,1597,0,0,0
514495,-478,746,251,-1133,-41,1559,0,0,0
514528,-873,681,233,-614,-65,1335,0,0,0
514562,-1008,657,270,54,186,698,0,0,0
514595,-988,678,374,416,391,162,0,0,0
514628,-893,726,360,330,548,-522,0,0,0
514662,-755,645,321,-202,878,-684,0,0,0
514695,-916,519,266,-971,1213,-385,0,0,0
514728,-1416,562,349,-1644,1172,-458,0,0,0
514762,-1322,315,431,-1211,585,-690,0,0,0
514795,-932,82,440,644,42,-1013,0,0,0
514828,-616,199,380,2163,-172,-1414,0,0,0
514862,-449,340,346,2499,-349,-1591,0,0,0
514895,-354,406,280,2039,-445,-1567,0,0,0
514928,-310,418,189,1438,-421,-1635,0,0,0
514962,-413,505,169,838,-165,-1770,0,0,0
514995,-544,641,257,-82,33,-1749,0,0,0
515028,-677,561,326,-684,66,-1601,0,0,0
515062,-848,555,355,-758,199,-1465,0,0,0
515095,-1115,591,413,-538,207,-1157,0,0,0
515128,-1301,575,455,-376,77,-631,0,0,0
515162,-1478,537,461,163,-5,-257,0,0,0
515195,-1403,655,506,146,-281,-57,0,0,0
515228,-1199,594,354,42,-548,723,0,0,0
515262,-1274,575,248,-231,-398,1165,0,0,0
515295,-1366,580,276,-872,-148,1469,0,0,0
515328,-1335,383,283,-1357,-171,1782,0,0,0
515362,-954,210,289,-715,-278,1888,0,0,0
515395,-584,161,252,202,-405,1769,0,0,0
515428,-349,267,172,472,-443,1618,0,0,0
515462,-205,298,79,529,-280,1425,0,0,0
515495,-211,411,54,251,-35,1332,0,0,0
515528,-280,543,71,-594,191,1331,0,0,0
515562,-372,506,134,-1385,385,1225,0,0,0
515595,-621,474,253,-1373,342,894,0,0,0
515628,-907,488,290,-803,303,443,0,0,0
515662,-1054,529,314,-552,434,-42,0,0,0
515695,-1244,506,373,-499,621,-811,0,0,0
515728,-1221,579,392,-527,968,-1362,0,0,0
515762,-1077,484,472,-757,1114,-781,0,0,0
515795,-1361,498,499,-1173,937,-300,0,0,0
515828,-1449,279,380,-927,544,-30,0,0,0
515862,-1155,140,392,205,139,-269,0,0,0
515895,-775,171,343,1280,-300,-620,0,0,0
515928,-488,243,267,1922,-482,-937,0,0,0
515962,-340,302,195,1909,-475,-1103,0,0,0
515995,-261,400,139,1386,-291,-1093,0,0,0
516028,-350,446,121,716,-23,-1167,0,0,0
516062,-576,563,165,48,317,-1176,0,0,0
516095,-698,566,312,-651,397,-956,0,0,0
516128,-796,402,429,-635,331,-498,0,0,0
516162,-924,437,491,-37,206,-228,0,0,0
516195,-1097,532,457,-164,262,-32,0,0,0
516228,-1198,477,496,216,85,281,0,0,0
516262,-1280,512,475,633,-232,197,0,0,0
516295,-1269,590,445,355,-499,-52,0,0,0
516328,-1107,548,374,309,-527,204,0,0,0
516362,-1111,484,165,-637,-197,625,0,0,0
516395,-1361,457,198,-1171,227,560,0,0,0
516428,-1234,366,290,-1152,50,563,0,0,0
516462,-887,207,264,-700,-96,598,0,0,0
516495,-594,184,211,-141,-184,730,0,0,0
516528,-369,178,138,272,-196,709,0,0,0
516562,-251,210,104,516,-16,570,0,0,0
516595,-267,299,88,359,187,408,0,0,0
516628,-446,413,128,-78,303,302,0,0,0
516662,-687,475,165,-527,410,248,0,0,0
516695,-904,446,266,-518,404,182,0,0,0
516728,-1047,470,345,-191,299,-52,0,0,0
516761,-1077,391,484,326,144,-520,0,0,0
516795,-1175,325,913,1697,-354,-1351,0,0,0
516828,-1093,725,363,696,0,-1251,0,0,0
516861,-1083,611,171,32,612,-398,0,0,0
516895,-1333,440,260,-1327,314,440,0,0,0
516928,-1404,241,138,-1108,-181,726,0,0,0
516961,-1151,159,228,505,-326,743,0,0,0
516995,-832,257,408,1269,-365,606,0,0,0
517028,-612,304,456,1078,-496,311,0,0,0
517061,-402,284,272,1157,-318,300,0,0,0
517095,-301,232,261,1056,-340,213,0,0,0
517128,-238,264,228,575,-357,15,0,0,0
517161,-320,250,196,381,-194,-181,0,0,0
517195,-466,323,222,542,8,-433,0,0,0
517228,-631,404,285,402,186,-675,0,0,0
517261,-848,473,345,221,325,-820,0,0,0
517295,-1254,519,394,379,377,-944,0,0,0
517328,-1414,418,556,2094,4,-810,0,0,0
517361,-1568,818,390,3317,-310,-1044,0,0,0
517395,-1457,953,332,1164,-468,-992,0,0,0
517428,-1210,784,210,-172,-504,21,0,0,0
517461,-1156,512,130,-1287,-208,663,0,0,0
517495,-1190,412,135,-1639,-72,769,0,0,0
517528,-1061,335,191,-951,-285,475,0,0,0
517561,-730,344,205,-247,-343,310,0,0,0
517595,-490,301,190,78,-361,246,0,0,0
517628,-335,304,113,117,-220,201,0,0,0
517661,-260,336,83,-55,-114,113,0,0,0
517695,-312,358,74,-330,17,143,0,0,0
517728,-456,371,73,-477,57,123,0,0,0
517761,-616,391,112,-459,128,88,0,0,0
517795,-778,376,194,-329,182,113,0,0,0
517828,-952,398,226,-258,202,-83,0,0,0
517861,-1261,467,223,-167,277,-541,0,0,0
517895,-1479,457,213,-297,595,-1052,0,0,0
517928,-1358,350,342,-848,1172,-521,0,0,0
517961,-1713,182,538,-1248,747,305,0,0,0
517995,-1632,-1,264,-379,-90,575,0,0,0
518028,-1228,38,159,888,-267,509,0,0,0
518061,-864,117,330,1796,-352,188,0,0,0
518095,-583,275,333,2103,-511,-129,0,0,0
518128,-413,374,236,1636,-438,-194,0,0,0
518161,-371,400,202,755,-353,-147,0,0,0
518195,-418,340,147,135,-270,-50,0,0,0
518228,-542,293,86,58,-184,-120,0,0,0
518261,-588,331,118,115,9,-272,0,0,0
518295,-609,361,222,202,126,-401,0,0,0
518328,-679,416,293,473,96,-272,0,0,0
518361,-863,508,279,286,149,-232,0,0,0
518395,-1122,453,431,602,-36,-89,0,0,0
518428,-1300,381,354,2314,-371,-192,0,0,0
518461,-1398,793,280,718,-225,-791,0,0,0
518495,-1337,601,305,-633,-141,-499,0,0,0
518528,-1347,450,210,-1398,-26,79,0,0,0
518561,-1440,317,139,-2217,162,429,0,0,0
518595,-1274,134,182,-1687,84,330,0,0,0
518628,-970,126,195,-466,-116,216,0,0,0
518661,-730,206,125,313,-194,90,0,0,0
518695,-543,245,58,253,-110,-102,0,0,0
518728,-505,298,51,-169,87,-223,0,0,0
518761,-532,326,104,-459,199,-187,0,0,0
518795,-631,316,110,-701,245,-20,0,0,0
518828,-675,272,133,-764,229,-6,0,0,0
518861,-703,271,180,-598,252,24,0,0,0
518895,-771,263,243,-486,219,-9,0,0,0
518928,-928,242,291,-268,98,-169,0,0,0
518961,-1059,221,352,197,-111,-353,0,0,0
518995,-1231,277,353,652,-245,-663,0,0,0
519028,-1362,329,290,687,-301,-881,0,0,0
519061,-1087,242,196,323,202,-395,0,0,0
519095,-1104,170,255,-343,355,203,0,0,0
519128,-1432,49,150,-236,11,408,0,0,0
519161,-1215,-35,90,774,-153,426,0,0,0
519195,-1006,112,172,1495,-113,218,0,0,0
519228,-815,243,255,1469,-155,99,0,0,0
519261,-649,276,228,1362,-98,100,0,0,0
519295,-597,321,183,933,8,84,0,0,0
519328,-615,337,167,346,30,105,0,0,0
519361,-650,295,153,67,-1,131,0,0,0
519395,-689,257,195,17,53,87,0,0,0
519428,-723,288,203,25,89,-24,0,0,0
519461,-757,337,218,108,105,-100,0,0,0
519495,-837,417,194,226,132,-125,0,0,0
519528,-992,513,144,85,176,-39,0,0,0
519561,-1101,460,205,346,143,101,0,0,0
519595,-1060,394,257,1034,-33,44,0,0,0
519628,-1146,540,219,1400,-148,-236,0,0,0
519661,-1159,468,153,1068,-11,-161,0,0,0
519695,-1121,499,150,346,170,93,0,0,0
519728,-1250,377,84,-1446,470,355,0,0,0
519761,-1305,109,42,-1867,642,422,0,0,0
519795,-1201,38,58,-960,555,329,0,0,0
519828,-1041,95,25,-258,394,-13,0,0,0
519861,-920,195,-20,-68,319,-274,0,0,0
519895,-796,230,27,82,230,-432,0,0,0
519928,-710,270,102,214,113,-474,0,0,0
519961,-726,310,139,164,7,-382,0,0,0
519995,-796,261,211,18,-171,-302,0,0,0
520028,-813,300,120,-36,-397,-313,0,0,0
520061,-816,330,-3,-63,-398,-264,0,0,0
520095,-865,340,29,5,-457,-252,0,0,0
520128,-907,387,88,185,-568,-248,0,0,0
520161,-896,424,66,486,-509,-69,0,0,0
520195,-1072,529,81,194,-299,-87,0,0,0
520228,-1217,537,123,109,-258,34,0,0,0
520261,-859,482,161,-346,250,576,0,0,0
520295,-861,246,106,-846,747,1068,0,0,0
520328,-1343,70,298,-1446,552,967,0,0,0
520361,-1401,16,279,-994,201,823,0,0,0
520395,-1177,-257,284,163,113,803,0,0,0
520428,-927,-117,149,1284,-69,276,0,0,0
520461,-786,127,62,1783,-270,-5,0,0,0
520495,-674,254,120,1691,-400,-2,0,0,0
520528,-677,319,123,1487,-427,-65,0,0,0
520561,-692,384,97,906,-169,3,0,0,0
520595,-732,333,111,295,-58,-119,0,0,0
520628,-754,364,77,15,92,-211,0,0,0
520661,-833,384,104,-108,130,-200,0,0,0
520695,-915,442,109,15,97,-147,0,0,0
520728,-944,518,79,77,83,-85,0,0,0
520761,-941,482,86,-7,136,25,0,0,0
520795,-899,370,118,392,117,-63,0,0,0
520828,-1002,517,80,994,8,-141,0,0,0
520861,-1055,609,41,371,19,72,0,0,0
520895,-1032,431,-30,-209,335,366,0,0,0
520928,-1168,322,-10,-414,485,432,0,0,0
520961,-1233,239,-24,-882,688,474,0,0,0
520995,-1240,-44,24,-1140,770,341,0,0,0
521028,-1283,-158,41,-779,647,-37,0,0,0
521061,-1184,-119,68,128,284,-446,0,0,0
521095,-1029,125,12,752,17,-702,0,0,0
521128,-896,287,-23,820,-195,-652,0,0,0
521161,-861,376,-4,645,-178,-504,0,0,0
521195,-859,396,-37,333,-213,-421,0,0,0
521228,-870,345,-68,97,-163,-242,0,0,0
521261,-861,300,-109,-20,-93,-190,0,0,0
521295,-874,258,-81,50,-108,-52,0,0,0
521328,-839,302,-77,294,-222,124,0,0,0
521361,-794,374,-95,253,-169,274,0,0,0
521395,-793,361,-83,127,-46,490,0,0,0
521428,-1074,352,69,218,-67,258,0,0,0
521461,-1061,396,10,30,13,366,0,0,0
521495,-978,157,-4,-648,433,414,0,0,0
521528,-955,-60,147,-21,214,294,0,0,0
521561,-955,165,111,962,129,140,0,0,0
521595,-912,473,104,822,243,147,0,0,0
521628,-958,509,122,194,379,289,0,0,0
521661,-977,279,87,-194,218,257,0,0,0
521695,-1014,155,50,52,110,74,0,0,0
521728,-1034,192,119,116,0,-118,0,0,0
521761,-1049,187,158,175,-174,-287,0,0,0
521795,-1033,203,81,334,-222,-402,0,0,0
521828,-922,228,27,241,-5,-505,0,0,0
521861,-802,334,5,306,105,-443,0,0,0
521895,-762,521,-110,-63,307,-283,0,0,0
521928,-869,446,-119,-609,561,-32,0,0,0
521961,-1189,196,189,-512,226,123,0,0,0
521995,-1095,147,-69,86,-182,192,0,0,0
522028,-1008,289,-250,779,126,208,0,0,0
522061,-953,503,-222,-210,393,338,0,0,0
522095,-981,202,-169,-1035,496,232,0,0,0
522128,-989,60,-94,-685,523,1,0,0,0
522161,-1021,134,-21,-116,396,-160,0,0,0
522195,-1006,328,-112,122,276,-188,0,0,0
522228,-972,410,-91,-187,284,-56,0,0,0
522261,-973,370,7,-453,122,-25,0,0,0
522295,-988,311,-58,-658,69,-3,0,0,0
522328,-1051,257,28,-639,-55,-5,0,0,0
522361,-977,178,-61,-216,-377,-24,0,0,0
522395,-982,293,-107,33,-404,-40,0,0,0
522428,-1051,208,-39,-179,-559,-203,0,0,0
522461,-1088,170,-2,39,-706,-282,0,0,0
522495,-1100,229,56,276,-911,-333,0,0,0
522528,-1042,274,-54,473,-968,-265,0,0,0
522561,-999,290,-30,327,-864,-380,0,0,0
522595,-940,246,21,248,-881,-453,0,0,0
522628,-906,267,9,244,-804,-551,0,0,0
522661,-862,270,-11,182,-714,-578,0,0,0
522695,-815,293,-32,247,-470,-584,0,0,0
522728,-781,334,-53,275,-174,-412,0,0,0
